"Date","Player_1","Player_2","Winner","Rank_1","Rank_2","Odd_1","Odd_2","Court","Five_Set","Match_Importance","Opponent","Odd_Djo","Odd_Opp","Rank_Djo","Rank_Opp","Win","Odd_Pred","Grass","Clay","Indoor","Hard","Odd_Acc","Opp_Court_Perc","Opp_Set_Perc","H2H_Djo","Pre_Djo","Pre5_Djo","Pre_Opp","Pre5_Opp","Log_Rank_Djo","Log_Rank_Opp"
"2004-07-20","Djokovic N.","Volandri F.","Volandri F.",368,65,5.5,1.12,"Clay",0,45,"Volandri F.",5.5,1.12,368,65,0,0,0,1,0,0,1,56.6037735849057,55.5555555555556,50,0,0,0,0.4,5.90808293816893,4.17438726989564
"2004-09-14","Clement A.","Djokovic N.","Djokovic N.",67,272,1.53,2.35,"Clay",0,45,"Clement A.",2.35,1.53,272,67,1,0,0,1,0,0,0,37.5,50,50,0,0,0,0.2,5.605802066296,4.20469261939097
"2004-09-16","Ferrer D.","Djokovic N.","Ferrer D.",54,272,1.28,3.5,"Clay",0,45,"Ferrer D.",3.5,1.28,272,54,0,0,0,1,0,0,1,55.0724637681159,48.8888888888889,50,1,0,1,0.4,5.605802066296,3.98898404656427
"2004-09-28","van Scheppingen D.","Djokovic N.","van Scheppingen D.",81,248,1.61,2.2,"Hard Indoor",0,45,"van Scheppingen D.",2.2,1.61,248,81,0,0,0,0,1,0,1,0,40,50,0,0,0,0.4,5.51342874616498,4.39444915467244
"2005-01-17","Djokovic N.","Safin M.","Safin M.",188,4,7.5,1.07,"Hard Outdoor",1,90,"Safin M.",7.5,1.07,188,4,0,0,0,0,0,1,1,67.4157303370787,72.3404255319149,50,0,0,0,0.6,5.23644196282995,1.38629436111989
"2005-04-05","Dupuis A.","Djokovic N.","Dupuis A.",114,160,3,1.33,"Clay",0,45,"Dupuis A.",1.33,3,160,114,0,1,0,1,0,0,0,34.1463414634146,40.3669724770642,50,0,0.2,0,0.2,5.07517381523383,4.7361984483945
"2005-05-24","Ginepri R.","Djokovic N.","Djokovic N.",71,153,2.25,1.57,"Clay",1,90,"Ginepri R.",1.57,2.25,153,71,1,1,0,1,0,0,1,33.3333333333333,50,50,0,0.2,0,0.4,5.03043792139244,4.26267987704132
"2005-06-21","Monaco J.","Djokovic N.","Djokovic N.",68,128,4,1.22,"Grass",1,90,"Monaco J.",1.22,4,128,68,1,1,1,0,0,0,1,0,20,50,1,0.2,0,0.4,4.85203026391962,4.21950770517611
"2005-06-23","Garcia-Lopez G.","Djokovic N.","Djokovic N.",81,128,2.1,1.66,"Grass",1,90,"Garcia-Lopez G.",1.66,2.1,128,81,1,1,1,0,0,0,1,60,50,50,1,0.4,1,0.6,4.85203026391962,4.39444915467244
"2005-06-25","Grosjean S.","Djokovic N.","Grosjean S.",27,128,1.14,5,"Grass",1,180,"Grosjean S.",5,1.14,128,27,0,0,1,0,0,0,1,75.7575757575758,72.8813559322034,50,1,0.6,1,0.8,4.85203026391962,3.29583686600433
"2005-07-26","Djokovic N.","Calatrava A.","Djokovic N.",97,163,1.36,2.87,"Clay",0,45,"Calatrava A.",1.36,2.87,97,163,1,1,0,1,0,0,1,35.7142857142857,33.8028169014084,50,0,0.6,0,0.4,4.57471097850338,5.09375020080676
"2005-07-27","Ferrero J.C.","Djokovic N.","Ferrero J.C.",28,97,1.14,5,"Clay",0,45,"Ferrero J.C.",5,1.14,97,28,0,0,0,1,0,0,1,80,70.2564102564102,50,1,0.8,0,0.6,4.57471097850338,3.3322045101752
"2005-08-15","Djokovic N.","Gonzalez F.","Gonzalez F.",97,18,3.5,1.28,"Hard Outdoor",0,90,"Gonzalez F.",3.5,1.28,97,18,0,0,0,0,0,1,1,50,54.9618320610687,50,0,0.6,0,0.6,4.57471097850338,2.89037175789616
"2005-08-30","Djokovic N.","Monfils G.","Djokovic N.",97,43,2.5,1.5,"Hard Outdoor",1,90,"Monfils G.",2.5,1.5,97,43,1,0,0,0,0,1,0,57.1428571428571,50,50,0,0.4,0,0.6,4.57471097850338,3.76120011569356
"2005-09-02","Djokovic N.","Ancic M.","Djokovic N.",97,24,3.5,1.28,"Hard Outdoor",1,90,"Ancic M.",3.5,1.28,97,24,1,0,0,0,0,1,0,50,64.5161290322581,50,1,0.4,1,0.6,4.57471097850338,3.17805383034795
"2005-09-04","Djokovic N.","Verdasco F.","Verdasco F.",97,48,2.75,1.39,"Hard Outdoor",1,180,"Verdasco F.",2.75,1.39,97,48,0,0,0,0,0,1,1,47.3684210526316,50,50,1,0.6,1,0.8,4.57471097850338,3.87120101090789
"2006-01-17","Djokovic N.","Goldstein P.","Goldstein P.",76,68,1.39,2.75,"Hard Outdoor",1,90,"Goldstein P.",1.39,2.75,76,68,0,1,0,0,0,1,0,38.7096774193548,16.6666666666667,50,0,0.4,0,0.2,4.33073334028633,4.21950770517611
