"Match_Importance","Rank_Djo","Rank_Opp","Log_Rank_Djo","Log_Rank_Opp","Five_Set","Hard","Grass","Clay","Indoor","Opp_Set_Perc","Opp_Court_Perc","H2H_Djo","Pre_Djo","Pre5_Djo","Pre_Opp","Pre5_Opp","Odd_Djo","Odd_Opp","Odd_Pred","Odd_Acc","Win"
45,368,65,5.90808293816893,4.17438726989564,0,0,0,1,0,55.5555555555556,56.6037735849057,50,0,0,0,0.4,5.5,1.12,0,1,0
45,272,67,5.605802066296,4.20469261939097,0,0,0,1,0,50,37.5,50,0,0,0,0.2,2.35,1.53,0,0,1
45,272,54,5.605802066296,3.98898404656427,0,0,0,1,0,48.8888888888889,55.0724637681159,50,1,0,1,0.4,3.5,1.28,0,1,0
45,248,81,5.51342874616498,4.39444915467244,0,0,0,0,1,40,0,50,0,0,0,0.4,2.2,1.61,0,1,0
90,188,4,5.23644196282995,1.38629436111989,1,1,0,0,0,72.3404255319149,67.4157303370787,50,0,0,0,0.6,7.5,1.07,0,1,0
45,160,114,5.07517381523383,4.7361984483945,0,0,0,1,0,40.3669724770642,34.1463414634146,50,0,0.2,0,0.2,1.33,3,1,0,0
90,153,71,5.03043792139244,4.26267987704132,1,0,0,1,0,50,33.3333333333333,50,0,0.2,0,0.4,1.57,2.25,1,1,1
90,128,68,4.85203026391962,4.21950770517611,1,0,1,0,0,20,0,50,1,0.2,0,0.4,1.22,4,1,1,1
90,128,81,4.85203026391962,4.39444915467244,1,0,1,0,0,50,60,50,1,0.4,1,0.6,1.66,2.1,1,1,1
180,128,27,4.85203026391962,3.29583686600433,1,0,1,0,0,72.8813559322034,75.7575757575758,50,1,0.6,1,0.8,5,1.14,0,1,0
45,97,163,4.57471097850338,5.09375020080676,0,0,0,1,0,33.8028169014084,35.7142857142857,50,0,0.6,0,0.4,1.36,2.87,1,1,1
45,97,28,4.57471097850338,3.3322045101752,0,0,0,1,0,70.2564102564102,80,50,1,0.8,0,0.6,5,1.14,0,1,0
