"Date","Player_1","Player_2","Winner","Rank_1","Rank_2","Odd_1","Odd_2","Court","Five_Set","Match_Importance","Opponent","Odd_Med","Odd_Opp","Rank_Med","Rank_Opp","Win","Odd_Pred","Grass","Clay","Indoor","Hard","Odd_Acc","Opp_Court_Perc","Opp_Set_Perc","H2H_Med","Pre_Med","Pre5_Med","Pre_Opp","Pre5_Opp","Log_Rank_Med","Log_Rank_Opp"
"2016-05-16","Medvedev D.","Pella G.","Pella G.",244,54,5,1.16,"Clay",0,45,"Pella G.",5,1.16,244,54,0,0,0,1,0,0,1,44.4444444444444,40.5405405405405,50,0,0,0,0.4,5.4971682252932,3.98898404656427
"2016-06-07","Zeballos H.","Medvedev D.","Medvedev D.",92,256,2.62,1.44,"Grass",0,45,"Zeballos H.",1.44,2.62,256,92,1,1,1,0,0,0,1,16.6666666666667,41.2844036697248,50,0,0,0,0.4,5.54517744447956,4.52178857704904
"2016-06-09","Medvedev D.","Mannarino A.","Mannarino A.",256,55,3.25,1.33,"Grass",0,45,"Mannarino A.",3.25,1.33,256,55,0,0,1,0,0,0,1,51.5151515151515,43.6363636363636,50,1,0,1,0.6,5.54517744447956,4.00733318523247
"2016-07-12","Medvedev D.","Struff J.L.","Medvedev D.",215,86,3,1.36,"Clay",0,90,"Struff J.L.",3,1.36,215,86,1,0,0,1,0,0,0,25,34.4262295081967,50,0,0,0,0.2,5.37063802812766,4.45434729625351
"2016-07-14","Medvedev D.","Gimeno-Traver D.","Gimeno-Traver D.",215,156,1.83,1.83,"Clay",0,90,"Gimeno-Traver D.",1.83,1.83,215,156,0,1,0,1,0,0,0,40.1273885350318,36.4077669902913,50,1,0,1,0.4,5.37063802812766,5.04985600724954
"2016-09-20","Medvedev D.","Bublik A.","Medvedev D.",144,323,1.18,4.5,"Hard Indoor",0,45,"Bublik A.",1.18,4.5,144,323,1,1,0,0,1,0,1,0,0,50,0,0.4,0,0,4.969813299576,5.77765232322266
"2016-09-22","Zverev A.","Medvedev D.","Zverev A.",27,144,1.3,3.4,"Hard Indoor",0,45,"Zverev A.",3.4,1.3,144,27,0,0,0,0,1,0,1,47.0588235294118,54.320987654321,50,1,0.6,1,0.4,4.969813299576,3.29583686600433
"2016-10-20","Troicki V.","Medvedev D.","Medvedev D.",28,123,1.57,2.25,"Hard Indoor",0,45,"Troicki V.",2.25,1.57,123,28,1,0,0,0,1,0,0,59.1549295774648,52.2796352583587,50,0,0.4,0,0.4,4.81218435537242,3.3322045101752
"2016-10-21","Medvedev D.","Robert S.","Robert S.",123,52,1.33,3.25,"Hard Indoor",0,90,"Robert S.",1.33,3.25,123,52,0,1,0,0,1,0,0,33.3333333333333,38.0952380952381,50,1,0.6,1,0.2,4.81218435537242,3.95124371858143
"2017-01-02","Medvedev D.","Monteiro T.","Medvedev D.",99,82,1.18,4.5,"Hard Outdoor",0,45,"Monteiro T.",1.18,4.5,99,82,1,1,0,0,0,1,1,0,44.4444444444444,50,0,0.4,0,0.4,4.59511985013459,4.40671924726425
"2017-01-04","Medvedev D.","Lu Y.H.","Medvedev D.",99,64,2.5,1.5,"Hard Outdoor",0,45,"Lu Y.H.",2.5,1.5,99,64,1,0,0,0,0,1,0,44.2105263157895,43.6213991769547,50,1,0.6,1,0.4,4.59511985013459,4.15888308335967
"2017-01-06","Medvedev D.","Kovalik J.","Medvedev D.",99,117,1.36,3,"Hard Outdoor",0,90,"Kovalik J.",1.36,3,99,117,1,1,0,0,0,1,1,42.8571428571429,45.4545454545455,50,1,0.6,1,0.6,4.59511985013459,4.76217393479776
"2017-01-07","Medvedev D.","Sela D.","Medvedev D.",99,96,1.61,2.3,"Hard Outdoor",0,150,"Sela D.",1.61,2.3,99,96,1,1,0,0,0,1,1,44.3609022556391,42.8571428571429,50,1,0.8,1,0.6,4.59511985013459,4.56434819146784
"2017-01-08","Bautista Agut R.","Medvedev D.","Bautista Agut R.",14,99,1.28,3.75,"Hard Outdoor",0,250,"Bautista Agut R.",3.75,1.28,99,14,0,0,0,0,0,1,1,73.6842105263158,61.7647058823529,50,1,0.8,1,0.6,4.59511985013459,2.63905732961526
"2017-01-17","Medvedev D.","Escobedo E.","Escobedo E.",63,131,1.44,2.75,"Hard Outdoor",1,90,"Escobedo E.",1.44,2.75,63,131,0,1,0,0,0,1,0,0,0,50,0,0.8,0,0.2,4.14313472639153,4.87519732320115
"2017-02-07","Medvedev D.","Kamke T.","Medvedev D.",63,123,1.4,2.75,"Hard Indoor",0,45,"Kamke T.",1.4,2.75,63,123,1,1,0,0,1,0,1,40.4761904761905,39.5161290322581,50,0,0.6,0,0.6,4.14313472639153,4.81218435537242
"2017-02-09","Verdasco F.","Medvedev D.","Medvedev D.",40,63,1.57,2.25,"Hard Indoor",0,45,"Verdasco F.",2.25,1.57,63,40,1,0,0,0,1,0,0,47.1264367816092,55.7858376511226,50,1,0.6,1,0.6,4.14313472639153,3.68887945411394
"2017-02-10","Medvedev D.","Tsonga J.W.","Tsonga J.W.",63,14,4,1.22,"Hard Indoor",0,90,"Tsonga J.W.",4,1.22,63,14,0,0,0,0,1,0,1,69.4915254237288,65.6593406593407,50,1,0.6,1,0.8,4.14313472639153,2.63905732961526
"2017-02-22","Medvedev D.","Paire B.","Medvedev D.",64,41,1.72,2,"Hard Indoor",0,45,"Paire B.",1.72,2,64,41,1,1,0,0,1,0,1,42.8571428571429,47.6190476190476,50,0,0.4,0,0.4,4.15888308335967,3.71357206670431
"2017-02-23","Struff J.L.","Medvedev D.","Medvedev D.",62,64,2,1.72,"Hard Indoor",0,45,"Struff J.L.",1.72,2,64,62,1,1,0,0,1,0,1,53.3333333333333,38.4615384615385,100,1,0.6,1,0.4,4.15888308335967,4.12713438504509
"2017-02-24","Medvedev D.","Pouille L.","Pouille L.",64,17,2.62,1.44,"Hard Indoor",0,90,"Pouille L.",2.62,1.44,64,17,0,0,0,0,1,0,1,52.1739130434783,53.5211267605634,50,1,0.8,1,0.4,4.15888308335967,2.83321334405622
"2017-03-01","Medvedev D.","Kohlschreiber P.","Kohlschreiber P.",57,29,2.62,1.44,"Hard Outdoor",0,90,"Kohlschreiber P.",2.62,1.44,57,29,0,0,0,0,0,1,1,53.8812785388128,56.7729083665339,50,0,0.6,1,0.6,4.04305126783455,3.36729582998647
"2017-03-10","Medvedev D.","Youzhny M.","Youzhny M.",58,84,1.44,2.62,"Hard Outdoor",0,90,"Youzhny M.",1.44,2.62,58,84,0,1,0,0,0,1,0,53.7313432835821,54.6594982078853,50,0,0.4,0,0.4,4.06044301054642,4.43081679884331
"2017-04-18","Lopez F.","Medvedev D.","Lopez F.",39,62,1.53,2.37,"Clay",0,90,"Lopez F.",2.37,1.53,62,39,0,0,0,1,0,0,1,49.5192307692308,50.9306260575296,50,0,0.4,0,0.4,4.12713438504509,3.66356164612965
"2017-05-22","Medvedev D.","Simon G.","Simon G.",65,32,3.4,1.3,"Clay",0,45,"Simon G.",3.4,1.3,65,32,0,0,0,1,0,0,1,61,58.969465648855,50,0,0.2,0,0.2,4.17438726989564,3.46573590279973
"2017-06-13","Medvedev D.","Haase R.","Medvedev D.",65,43,2.1,1.66,"Grass",0,45,"Haase R.",2.1,1.66,65,43,1,0,1,0,0,0,0,40.625,46.1818181818182,50,0,0,0,0.2,4.17438726989564,3.76120011569356
"2017-06-15","Medvedev D.","Kokkinakis T.","Medvedev D.",65,993,1.66,2.1,"Grass",0,45,"Kokkinakis T.",1.66,2.1,65,993,1,1,1,0,0,0,1,50,35.7142857142857,50,1,0.2,1,0.4,4.17438726989564,6.90073066404517
"2017-06-16","Karlovic I.","Medvedev D.","Karlovic I.",24,65,1.4,3,"Grass",0,90,"Karlovic I.",3,1.4,65,24,0,0,1,0,0,0,1,67.3469387755102,55.8886509635974,50,1,0.4,1,0.6,4.17438726989564,3.17805383034795
"2017-06-20","Medvedev D.","Mahut N.","Medvedev D.",60,77,2.62,1.44,"Grass",0,90,"Mahut N.",2.62,1.44,60,77,1,0,1,0,0,0,0,64,48.8888888888889,50,0,0.4,0,0.2,4.0943445622221,4.34380542185368
"2017-06-22","Kokkinakis T.","Medvedev D.","Medvedev D.",698,60,2.37,1.53,"Grass",0,90,"Kokkinakis T.",1.53,2.37,60,698,1,1,1,0,0,0,1,50,36.6666666666667,100,1,0.6,1,0.4,4.0943445622221,6.54821910276237
"2017-06-23","Medvedev D.","Dimitrov G.","Dimitrov G.",60,11,3.4,1.33,"Grass",0,180,"Dimitrov G.",3.4,1.33,60,11,0,0,1,0,0,0,1,63.0434782608696,59.2592592592593,50,1,0.8,1,0.6,4.0943445622221,2.39789527279837
"2017-06-28","Querrey S.","Medvedev D.","Medvedev D.",28,52,1.4,2.75,"Grass",0,45,"Querrey S.",2.75,1.4,52,28,1,0,1,0,0,0,0,61.3333333333333,56.6585956416465,50,0,0.6,0,0.4,3.95124371858143,3.3322045101752
"2017-06-29","Haase R.","Medvedev D.","Medvedev D.",38,52,1.83,1.83,"Grass",0,45,"Haase R.",1.83,1.83,52,38,1,1,1,0,0,0,1,43.2432432432432,46.4285714285714,100,1,0.6,1,0.6,3.95124371858143,3.63758615972639
"2017-06-29","Medvedev D.","Johnson S.","Medvedev D.",52,31,1.9,1.9,"Grass",0,90,"Johnson S.",1.9,1.9,52,31,1,1,1,0,0,0,1,54.5454545454545,51.4619883040936,50,1,0.8,0,0.4,3.95124371858143,3.43398720448515
"2017-06-30","Medvedev D.","Djokovic N.","Djokovic N.",52,4,6,1.12,"Grass",0,150,"Djokovic N.",6,1.12,52,4,0,0,1,0,0,0,1,83.75,82.7054794520548,50,1,0.8,1,0.8,3.95124371858143,1.38629436111989
"2017-07-03","Wawrinka S.","Medvedev D.","Medvedev D.",3,49,1.4,3,"Grass",1,90,"Wawrinka S.",3,1.4,49,3,1,0,1,0,0,0,0,51.063829787234,73.5294117647059,50,0,0.6,0,0.6,3.89182029811063,1.09861228866811
"2017-07-05","Medvedev D.","Bemelmans R.","Bemelmans R.",49,124,1.14,5.5,"Grass",1,90,"Bemelmans R.",1.14,5.5,49,124,0,1,1,0,0,0,0,28.5714285714286,27.2727272727273,50,1,0.8,1,0.6,3.89182029811063,4.82028156560504
"2017-08-01","Opelka R.","Medvedev D.","Medvedev D.",130,50,2.62,1.44,"Hard Outdoor",0,90,"Opelka R.",1.44,2.62,50,130,1,1,0,0,0,1,1,36.3636363636364,33.3333333333333,50,0,0.6,0,0,3.91202300542815,4.86753445045558
"2017-08-03","Medvedev D.","Johnson S.","Medvedev D.",50,34,2.2,1.61,"Hard Outdoor",0,90,"Johnson S.",2.2,1.61,50,34,1,0,0,0,0,1,0,50.4347826086956,51.4450867052023,100,1,0.6,0,0.6,3.91202300542815,3.52636052461616
"2017-08-04","Dimitrov G.","Medvedev D.","Medvedev D.",11,50,1.33,3.4,"Hard Outdoor",0,90,"Dimitrov G.",3.4,1.33,50,11,1,0,0,0,0,1,0,60.2484472049689,59.3333333333333,0,1,0.6,1,0.6,3.91202300542815,2.39789527279837
"2017-08-05","Medvedev D.","Zverev A.","Zverev A.",50,8,3.4,1.33,"Hard Outdoor",0,180,"Zverev A.",3.4,1.33,50,8,0,0,0,0,0,1,1,58.5365853658537,63.7037037037037,0,1,0.8,1,0.8,3.91202300542815,2.07944154167984
"2017-08-08","Medvedev D.","Mannarino A.","Mannarino A.",48,42,1.57,2.25,"Hard Outdoor",0,90,"Mannarino A.",1.57,2.25,48,42,0,1,0,0,0,1,0,45.4545454545455,44.4954128440367,0,0,0.6,0,0.4,3.87120101090789,3.73766961828337
"2017-08-14","Fognini F.","Medvedev D.","Fognini F.",25,51,1.83,1.83,"Hard Outdoor",0,90,"Fognini F.",1.83,1.83,51,25,0,1,0,0,0,1,0,41.2213740458015,50.8771929824561,50,0,0.6,0,0.8,3.93182563272433,3.2188758248682
"2017-08-22","Medvedev D.","Edmund K.","Edmund K.",53,45,2.25,1.57,"Hard Outdoor",0,45,"Edmund K.",2.25,1.57,53,45,0,0,0,0,0,1,1,45.4545454545455,43.0769230769231,50,0,0.4,1,0.4,3.97029191355212,3.80666248977032
"2017-08-28","Shapovalov D.","Medvedev D.","Shapovalov D.",69,54,1.72,2.1,"Hard Outdoor",1,90,"Shapovalov D.",2.1,1.72,54,69,0,0,0,0,0,1,1,62.5,0,50,0,0.2,0,0.8,3.98898404656427,4.23410650459726
"2017-09-20","Medvedev D.","Fabbiano T.","Fabbiano T.",62,70,1.28,3.5,"Hard Indoor",0,45,"Fabbiano T.",1.28,3.5,62,70,0,1,0,0,1,0,0,0,18.1818181818182,50,0,0,0,0.4,4.12713438504509,4.24849524204936
"2017-10-04","Dolgopolov O.","Medvedev D.","Dolgopolov O.",44,64,1.53,2.37,"Hard Outdoor",0,90,"Dolgopolov O.",2.37,1.53,64,44,0,0,0,0,0,1,1,55.3072625698324,53.015873015873,50,0,0,0,0.6,4.15888308335967,3.78418963391826
"2017-10-08","Medvedev D.","Pouille L.","Pouille L.",64,24,3,1.36,"Hard Outdoor",0,90,"Pouille L.",3,1.36,64,24,0,0,0,0,0,1,1,48.936170212766,55.4455445544555,0,0,0,0,0.4,4.15888308335967,3.17805383034795
"2017-10-18","Medvedev D.","Kuznetsov An.","Medvedev D.",67,95,2.2,1.61,"Hard Indoor",0,45,"Kuznetsov An.",2.2,1.61,67,95,1,0,0,0,1,0,0,34.6153846153846,39.8230088495575,50,0,0,0,0.2,4.20469261939097,4.55387689160054
"2017-10-19","Medvedev D.","Carreno Busta P.","Medvedev D.",67,11,2.37,1.53,"Hard Indoor",0,45,"Carreno Busta P.",2.37,1.53,67,11,1,0,0,0,1,0,0,75,62.8205128205128,50,1,0.2,0,0.4,4.20469261939097,2.39789527279837
"2017-10-20","Medvedev D.","Basic M.","Basic M.",67,209,1.25,4,"Hard Indoor",0,90,"Basic M.",1.25,4,67,209,0,1,0,0,1,0,0,60,44.4444444444444,50,1,0.4,1,0.4,4.20469261939097,5.34233425196481
"2018-01-08","Medvedev D.","Kohlschreiber P.","Medvedev D.",84,29,2.25,1.57,"Hard Outdoor",0,45,"Kohlschreiber P.",2.25,1.57,84,29,1,0,0,0,0,1,0,53.7444933920705,57.2232645403377,0,0,0.4,0,0.6,4.43081679884331,3.36729582998647
"2018-01-10","Donaldson J.","Medvedev D.","Medvedev D.",55,84,1.83,1.83,"Hard Outdoor",0,45,"Donaldson J.",1.83,1.83,84,55,1,1,0,0,0,1,1,49.0566037735849,44.4444444444444,50,1,0.6,1,0.4,4.43081679884331,4.00733318523247
"2018-01-11","Lorenzi P.","Medvedev D.","Medvedev D.",45,84,2.62,1.5,"Hard Outdoor",0,90,"Lorenzi P.",1.5,2.62,84,45,1,1,0,0,0,1,1,30.9859154929577,40,50,1,0.8,1,0.4,4.43081679884331,3.80666248977032
"2018-01-12","Medvedev D.","Fognini F.","Medvedev D.",84,27,2,1.8,"Hard Outdoor",0,150,"Fognini F.",2,1.8,84,27,1,0,0,0,0,1,0,42.5531914893617,51.5587529976019,0,1,0.8,1,0.6,4.43081679884331,3.29583686600433
"2018-01-13","Medvedev D.","De Minaur A.","Medvedev D.",84,167,2.2,1.66,"Hard Outdoor",0,250,"De Minaur A.",2.2,1.66,84,167,1,0,0,0,0,1,0,66.6666666666667,77.7777777777778,50,1,0.8,1,0.8,4.43081679884331,5.11799381241676
"2018-01-16","Kokkinakis T.","Medvedev D.","Medvedev D.",216,53,1.66,2.2,"Hard Outdoor",1,90,"Kokkinakis T.",2.2,1.66,53,216,1,0,0,0,0,1,0,48.2758620689655,40,100,1,1,0,0.6,3.97029191355212,5.37527840768417
"2018-01-18","Medvedev D.","Chung H.","Chung H.",53,58,2.75,1.44,"Hard Outdoor",1,90,"Chung H.",2.75,1.44,53,58,0,0,0,0,0,1,1,45.2380952380952,41.6666666666667,50,1,1,0,0.6,3.97029191355212,4.06044301054642
