"Match_Importance","Rank_Med","Rank_Opp","Log_Rank_Med","Log_Rank_Opp","Five_Set","Hard","Grass","Clay","Indoor","Opp_Set_Perc","Opp_Court_Perc","H2H_Med","Pre_Med","Pre5_Med","Pre_Opp","Pre5_Opp","Odd_Med","Odd_Opp","Odd_Pred","Odd_Acc","Win"
45,244,54,5.4971682252932,3.98898404656427,0,0,0,1,0,40.5405405405405,44.4444444444444,50,0,0,0,0.4,5,1.16,0,1,0
45,256,92,5.54517744447956,4.52178857704904,0,0,1,0,0,41.2844036697248,16.6666666666667,50,0,0,0,0.4,1.44,2.62,1,1,1
45,256,55,5.54517744447956,4.00733318523247,0,0,1,0,0,43.6363636363636,51.5151515151515,50,1,0,1,0.6,3.25,1.33,0,1,0
90,215,86,5.37063802812766,4.45434729625351,0,0,0,1,0,34.4262295081967,25,50,0,0,0,0.2,3,1.36,0,0,1
90,215,156,5.37063802812766,5.04985600724954,0,0,0,1,0,36.4077669902913,40.1273885350318,50,1,0,1,0.4,1.83,1.83,1,0,0
45,144,323,4.969813299576,5.77765232322266,0,0,0,0,1,0,0,50,0,0.4,0,0,1.18,4.5,1,1,1
45,144,27,4.969813299576,3.29583686600433,0,0,0,0,1,54.320987654321,47.0588235294118,50,1,0.6,1,0.4,3.4,1.3,0,1,0
45,123,28,4.81218435537242,3.3322045101752,0,0,0,0,1,52.2796352583587,59.1549295774648,50,0,0.4,0,0.4,2.25,1.57,0,0,1
90,123,52,4.81218435537242,3.95124371858143,0,0,0,0,1,38.0952380952381,33.3333333333333,50,1,0.6,1,0.2,1.33,3.25,1,0,0
45,99,82,4.59511985013459,4.40671924726425,0,1,0,0,0,44.4444444444444,0,50,0,0.4,0,0.4,1.18,4.5,1,1,1
45,99,64,4.59511985013459,4.15888308335967,0,1,0,0,0,43.6213991769547,44.2105263157895,50,1,0.6,1,0.4,2.5,1.5,0,0,1
90,99,117,4.59511985013459,4.76217393479776,0,1,0,0,0,45.4545454545455,42.8571428571429,50,1,0.6,1,0.6,1.36,3,1,1,1
150,99,96,4.59511985013459,4.56434819146784,0,1,0,0,0,42.8571428571429,44.3609022556391,50,1,0.8,1,0.6,1.61,2.3,1,1,1
250,99,14,4.59511985013459,2.63905732961526,0,1,0,0,0,61.7647058823529,73.6842105263158,50,1,0.8,1,0.6,3.75,1.28,0,1,0
90,63,131,4.14313472639153,4.87519732320115,1,1,0,0,0,0,0,50,0,0.8,0,0.2,1.44,2.75,1,0,0
45,63,123,4.14313472639153,4.81218435537242,0,0,0,0,1,39.5161290322581,40.4761904761905,50,0,0.6,0,0.6,1.4,2.75,1,1,1
45,63,40,4.14313472639153,3.68887945411394,0,0,0,0,1,55.7858376511226,47.1264367816092,50,1,0.6,1,0.6,2.25,1.57,0,0,1
90,63,14,4.14313472639153,2.63905732961526,0,0,0,0,1,65.6593406593407,69.4915254237288,50,1,0.6,1,0.8,4,1.22,0,1,0
45,64,41,4.15888308335967,3.71357206670431,0,0,0,0,1,47.6190476190476,42.8571428571429,50,0,0.4,0,0.4,1.72,2,1,1,1
