"Date","Player_1","Player_2","Winner","Rank_1","Rank_2","Odd_1","Odd_2","Court","Five_Set","Match_Importance","Opponent","Odd_Ruud","Odd_Opp","Rank_Ruud","Rank_Opp","Win","Odd_Pred","Grass","Clay","Indoor","Hard","Odd_Acc","Opp_Court_Perc","Opp_Set_Perc","H2H_Ruud","Pre_Ruud","Pre5_Ruud","Pre_Opp","Pre5_Opp","Log_Rank_Ruud","Log_Rank_Opp"
"2016-09-28","Troicki V.","Ruud C.","Troicki V.",32,258,1.16,5,"Hard Outdoor",0,45,"Troicki V.",5,1.16,258,32,0,0,0,0,0,1,1,52.6011560693642,52.0249221183801,50,0,0,0,0.6,5.55295958492162,3.46573590279973
"2017-01-03","Ruud C.","Olivo R.","Olivo R.",225,83,1.9,1.8,"Hard Outdoor",0,45,"Olivo R.",1.9,1.8,225,83,0,0,0,0,0,1,1,33.3333333333333,50,50,0,0,0,0.6,5.41610040220442,4.4188406077966
"2017-02-20","Dutra Silva R.","Ruud C.","Ruud C.",439,208,1.36,3,"Clay",0,90,"Dutra Silva R.",3,1.36,208,439,1,0,0,1,0,0,0,14.2857142857143,18.1818181818182,50,0,0,0,0.2,5.33753807970132,6.08449941307517
"2017-02-23","Ruud C.","Carballes Baena R.","Ruud C.",208,132,2.5,1.5,"Clay",0,90,"Carballes Baena R.",2.5,1.5,208,132,1,0,0,1,0,0,0,44,44,50,1,0,1,0.6,5.33753807970132,4.88280192258637
"2017-02-24","Ruud C.","Monteiro T.","Ruud C.",208,85,2.75,1.4,"Clay",0,180,"Monteiro T.",2.75,1.4,208,85,1,0,0,1,0,0,0,58.3333333333333,43.75,50,1,0,1,0.6,5.33753807970132,4.44265125649032
"2017-02-25","Carreno Busta P.","Ruud C.","Carreno Busta P.",24,208,1.28,3.75,"Clay",0,300,"Carreno Busta P.",3.75,1.28,208,24,0,0,0,1,0,0,1,66.6666666666667,66.6666666666667,50,1,0.6,1,0.8,5.33753807970132,3.17805383034795
"2017-03-23","Ruud C.","Lu Y.H.","Lu Y.H.",128,64,2.75,1.4,"Hard Outdoor",0,90,"Lu Y.H.",2.75,1.4,128,64,0,0,0,0,0,1,1,43.4343434343434,43.0278884462151,50,0,0.6,0,0.2,4.85203026391962,4.15888308335967
"2017-04-18","Struff J.L.","Ruud C.","Struff J.L.",58,127,1.28,3.5,"Clay",0,90,"Struff J.L.",3.5,1.28,127,58,0,0,0,1,0,0,1,31.4285714285714,39.0804597701149,50,0,0.6,0,0.6,4.84418708645859,4.06044301054642
"2017-04-24","Ruud C.","Albot R.","Ruud C.",126,81,1.4,2.75,"Clay",0,90,"Albot R.",1.4,2.75,126,81,1,1,0,1,0,0,1,30,23.0769230769231,50,0,0.4,0,0.2,4.83628190695148,4.39444915467244
"2017-04-26","Ruud C.","Ramos-Vinolas A.","Ramos-Vinolas A.",126,19,3.4,1.3,"Clay",0,90,"Ramos-Vinolas A.",3.4,1.3,126,19,0,0,0,1,0,0,1,51.9480519480519,47.0588235294118,50,1,0.4,0,0.8,4.83628190695148,2.94443897916644
