"Match_Importance","Rank_Ruud","Rank_Opp","Log_Rank_Ruud","Log_Rank_Opp","Five_Set","Hard","Grass","Clay","Indoor","Opp_Set_Perc","Opp_Court_Perc","H2H_Ruud","Pre_Ruud","Pre5_Ruud","Pre_Opp","Pre5_Opp","Odd_Ruud","Odd_Opp","Odd_Pred","Odd_Acc","Win"
45,258,32,5.55295958492162,3.46573590279973,0,1,0,0,0,52.0249221183801,52.6011560693642,50,0,0,0,0.6,5,1.16,0,1,0
45,225,83,5.41610040220442,4.4188406077966,0,1,0,0,0,50,33.3333333333333,50,0,0,0,0.6,1.9,1.8,0,1,0
90,208,439,5.33753807970132,6.08449941307517,0,0,0,1,0,18.1818181818182,14.2857142857143,50,0,0,0,0.2,3,1.36,0,0,1
90,208,132,5.33753807970132,4.88280192258637,0,0,0,1,0,44,44,50,1,0,1,0.6,2.5,1.5,0,0,1
180,208,85,5.33753807970132,4.44265125649032,0,0,0,1,0,43.75,58.3333333333333,50,1,0,1,0.6,2.75,1.4,0,0,1
300,208,24,5.33753807970132,3.17805383034795,0,0,0,1,0,66.6666666666667,66.6666666666667,50,1,0.6,1,0.8,3.75,1.28,0,1,0
90,128,64,4.85203026391962,4.15888308335967,0,1,0,0,0,43.0278884462151,43.4343434343434,50,0,0.6,0,0.2,2.75,1.4,0,1,0
90,127,58,4.84418708645859,4.06044301054642,0,0,0,1,0,39.0804597701149,31.4285714285714,50,0,0.6,0,0.6,3.5,1.28,0,1,0
90,126,81,4.83628190695148,4.39444915467244,0,0,0,1,0,23.0769230769231,30,50,0,0.4,0,0.2,1.4,2.75,1,1,1
90,126,19,4.83628190695148,2.94443897916644,0,0,0,1,0,47.0588235294118,51.9480519480519,50,1,0.4,0,0.8,3.4,1.3,0,1,0
45,118,39,4.77068462446567,3.66356164612965,0,0,0,1,0,56.640625,57.6744186046512,50,0,0.2,0,0.6,4,1.22,0,1,0
45,137,43,4.91998092582813,3.76120011569356,0,1,0,0,0,46.8646864686469,40.7079646017699,50,0,0.2,0,0.6,3,1.36,0,1,0
90,138,134,4.92725368515721,4.89783979995091,1,1,0,0,0,28.5714285714286,50,50,0,0.2,1,0.4,1.8,2,1,1,1
90,138,26,4.92725368515721,3.25809653802148,1,1,0,0,0,45.8333333333333,51.0204081632653,50,1,0.4,1,0.4,4,1.25,0,1,0
45,122,119,4.80402104473326,4.77912349311153,0,0,0,1,0,44.7826086956522,47.7272727272727,50,0,0.2,0,0.4,1.57,2.25,1,1,1
45,122,43,4.80402104473326,3.76120011569356,0,0,0,1,0,63.3771929824561,63.4146341463415,50,1,0.4,0,0.8,3,1.36,0,1,0
45,193,86,5.26269018890489,4.45434729625351,0,0,0,1,0,40.8450704225352,29.1666666666667,50,0,0.4,0,0.2,1.8,1.9,1,1,1
45,193,14,5.26269018890489,2.63905732961526,0,0,0,1,0,65.0485436893204,62.1621621621622,50,1,0.6,0,0.6,4.33,1.2,0,1,0
90,157,91,5.05624580534831,4.51085950651685,1,0,0,1,0,21.4285714285714,37.5,50,0,0.4,0,0,1.33,3.4,1,1,1
90,157,36,5.05624580534831,3.58351893845611,1,0,0,1,0,54.8387096774194,51.3513513513513,0,1,0.6,1,0.6,2.75,1.44,0,1,0
45,147,90,4.99043258677874,4.49980967033027,0,0,0,1,0,20,28.5714285714286,50,0,0.4,0,0.4,1.9,1.8,0,0,1
45,147,39,4.99043258677874,3.66356164612965,0,0,0,1,0,65.530303030303,69.9052132701422,50,1,0.6,1,0.4,2.37,1.53,0,0,1
90,147,29,4.99043258677874,3.36729582998647,0,0,0,1,0,63.588850174216,64.1414141414141,50,1,0.6,1,0.6,2.62,1.5,0,1,0
90,141,12,4.94875989037817,2.484906649788,0,0,0,1,0,50,51.7241379310345,0,0,0.6,0,0.2,3.5,1.28,0,1,0
90,143,66,4.96284463025991,4.18965474202643,1,1,0,0,0,34.7826086956522,40,50,0,0.4,0,0.6,2.1,1.72,0,1,0
90,135,140,4.90527477843843,4.9416424226093,0,0,0,1,0,44.017094017094,46.6666666666667,100,0,0.4,0,0,1.52,2.61,1,1,1
90,135,40,4.90527477843843,3.68887945411394,0,0,0,1,0,45.2205882352941,47.8632478632479,50,1,0.4,1,0.6,2.25,1.57,0,0,1
180,135,90,4.90527477843843,4.49980967033027,0,0,0,1,0,50,61.5384615384615,50,1,0.4,1,0.4,2.1,1.72,0,1,0
90,98,57,4.58496747867057,4.04305126783455,0,1,0,0,0,48,54.5454545454545,50,0,0.4,0,0.6,2.62,1.44,0,1,0
45,95,76,4.55387689160054,4.33073334028633,0,0,0,1,0,50,50,50,0,0.4,0,0.4,1.36,3,1,1,1
